GeneID	TranscriptID	Sample.Cleavage	Sample.Brown	Sample.Cloud	Sample.Spot	Sample.Late.spot	Sample.Ring	Sample.Late.ring	Sample.Free.swimming.larvae
LOC109592560	XR_002190414.1	0.417	0.655	0.877	2.47	0	0.615	0.378	0.626
LOC109588202	XR_002188019.1	3.262	0.976	0	0.555	0.613	0.364	0	1.032
LOC109583364	XR_002185494.1	0	0	0	0	0	0.466	0.386	0.328
LOC109589244	XR_002188612.1	10.966	11.262	4.253	2.355	7.289	3.238	4.549	3.029
LOC109585716	XR_002186615.1	11.922	14.289	10.669	9.999	9.412	14.502	8.757	8.866
LOC109593077	XR_002190717.1	0.379	0.148	0.307	0.064	0.847	0.395	0.134	0.292
LOC109585087	XR_002186321.1	0	0	0	0	0	0	0	0
LOC109592922	XR_002190636.1	1.681	1.417	1.547	0.922	1.334	0.529	1.85	1.57
LOC109586551	XR_002187089.1	0.018	0.03	0.69	2.113	0.06	0.042	0.055	0.066
LOC109587323	XR_002187527.1	3.582	2.529	2.392	1.649	2.881	1.525	0.961	2.857
LOC109587949	XR_002187889.1	163.374	232.234	257.223	173.039	69.985	129.688	95.531	187.253
LOC100638049	XR_002185381.1	9.706	3.416	0	0.07	1.908	0	1.854	2.338
LOC109581067	XR_002184480.1	0	0	0.212	0	0	0	0	0
LOC109582119	XR_002184920.1	3.334	0.437	0.449	1.1	0.195	0.089	0.955	0.021
LOC109586381	XR_002186994.1	4.69	0.677	1.542	2.651	1.876	0.231	0.556	1.033
LOC100635797	XR_002189340.1	17.2	18.759	27.835	24.8	23.97	25.127	19.83	32.753
LOC109590872	XR_002189543.1	4.621	11.623	14.487	11.14	8.772	6.893	5.885	7.933
LOC109586388	XR_002187003.1	0	0	0.026	0	0	0	0	0
LOC109587807	XR_002187803.1	0.295	0	0	0	0	0.125	0	0
LOC109588227	XR_002188030.1	1.937	0.659	0.561	0.113	0.311	0.426	0.075	0.093
LOC105315294	XR_002188830.1	0	0	0	0	0	0	0	0
LOC109587032	XR_002187359.1	0.657	0.263	0.127	1.41	0.006	0.262	0.429	1.259
LOC109583258	XR_002185427.1	0	0	0	0	0	0	0	0
LOC109585944	XR_002186738.1	0.548	2.079	0.452	1.147	0	0.815	1.584	3.344
LOC100633811	XR_002185252.1	0	0	0	0.185	0	0	0	0
LOC109590097	XR_002189142.1	1.494	1.458	1.8	1.195	0.54	2.318	0.215	6.716
LOC109585029	XR_002186277.1	1.076	0.521	0	0.118	0.07	0.017	0.195	0.37
LOC109584410	XR_002185987.1	55.325	8.336	7.731	6.777	7.239	7.849	9.288	4.109
LOC105314750	XR_002187594.1	0	0	0	0	0	0	0	0
LOC109583848	XR_002185724.1	0.888	0.408	0.809	1.163	0.717	0.735	1.612	1.03
LOC109591597	XR_002189891.1	3.291	1.154	0.46	0.557	0.199	0.1	1.011	1.677
LOC109589625	XR_002188818.1	6.627	7.38	5.078	2.039	1.407	5.248	4.779	5.182
LOC109588200	XR_002188018.1	2.784	0	0.332	0	0	1.156	1.945	0
LOC109590058	XR_002189091.1	0	0.032	0.042	0.187	0	0.399	0.045	1.085
LOC105316373	XR_002191036.1	0	1.907	1.148	0.267	0.776	0	0.121	0.219
LOC109591305	XR_002189757.1	70.683	81.673	63.521	38.315	47.598	44.301	41.664	41.836
LOC109592150	XR_002190202.1	0.146	0.331	0.649	0.432	0	0.169	0.758	0.203
LOC109592088	XR_002190165.1	15.188	3.72	3.319	2.739	3.906	2.274	2.634	2.724
LOC100642078	XR_002188448.1	0	0.683	0.045	0.055	0.05	0.039	0	0.115
LOC109585670	XR_002186596.1	0.556	4.293	4.454	5.334	2.738	2.905	1.63	1.741
LOC109590697	XR_002189454.1	0	0	0	0	0.21	0	0	0.063
LOC109586551	XR_002187088.1	1.224	6.907	2.08	2.122	2.418	2.849	4.286	3.429
LOC109593367	XR_002190920.1	2.802	2.784	1.977	0.125	0.782	0.529	1.345	1.665
LOC109587948	XR_002187888.1	1.001	1.431	0.567	0.474	0.904	0.218	0.085	0.63
