GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0031367	FBtr0077894	0	0	0	0.434	0	0	0.025	0	0	0	0	0
FBgn0020389	FBtr0074888	0.805	0.175	1.342	0.527	0.888	0.018	1.629	0.583	0.638	3.432	22.331	39.135
FBgn0035880	FBtr0076676	0	0	0.211	0.173	0.209	0.25	0.197	0.061	0.103	0.41	0.16	2.962
FBgn0035856	FBtr0076697	4.385	1.23	0.128	0.187	0.314	0.262	0.585	0.288	0.129	0.08	1.028	1.165
FBgn0259789	FBtr0074808	19.769	25.423	22.548	22.163	19.117	24.688	23.343	21.714	12.43	10.841	2.457	0.625
FBgn0030943	FBtr0074601	98.613	101.324	136.203	129.298	129.653	112.573	87.679	67.461	48.506	45.766	35.375	34.925
FBgn0036298	FBtr0075967	88.174	92.33	106.612	71.773	60.406	69.445	77.123	66.288	60.433	64.352	80.404	105.32
FBgn0036272	FBtr0076009	0	0.29	0.518	0.224	0.502	0.886	0.781	0.479	0.167	0.645	0.562	0.771
FBgn0024947	FBtr0077682	1.267	1.049	0.881	0.877	2.322	0.972	2.452	2.436	3.277	3.614	3.898	6.352
FBgn0036204	FBtr0076089	0	0	0.076	0.076	0	0	0	0	0	0	0	0
FBgn0010280	FBtr0075451	4.223	5.526	10.373	6.119	5.528	5.937	5.529	5.268	4.125	6.875	6.3	8.131
FBgn0052544	FBtr0074644	10.806	10.387	4.47	1.913	2.626	3.427	3.945	3.016	3.066	2.439	3.6	3.883
FBgn0266724	FBtr0075491	49.904	50.628	25.93	36.639	40.82	42.68	42.592	46.232	51.709	43.52	56.309	53.311
FBgn0052591	FBtr0073973	0	0.017	0	0.198	0.04	0.029	0.014	0.058	0.014	0.047	0.037	0.159
FBgn0016694	FBtr0076776	0.442	0.204	0.189	1.358	1.567	3.46	5.222	7.257	12.495	12.282	9.426	9.782
FBgn0004649	FBtr0073897	72.402	76.255	3.532	0.467	0.211	0.065	0.194	0.219	0.231	0	0.093	0
FBgn0030317	FBtr0073539	0.033	0.088	0.688	1.829	1.918	2.172	2.216	2.016	1.378	1.151	0.394	0.337
FBgn0028582	FBtr0076797	0.801	0.25	0.304	0.239	1.01	0.259	0.922	0.223	1.195	1.098	2.979	5.404
FBgn0003345	FBtr0074100	0.54	0.344	0.522	2.432	2.594	5.415	9.977	11.77	14.467	8.433	3.362	2.063
FBgn0011817	FBtr0076757	0.023	0.469	0.378	0.566	0	0	0	0	0	0	0	0
FBgn0011952	FBtr0073857	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000319	FBtr0074180	10.495	13.463	21.864	3.7	2.871	1.501	1.228	1.307	0.847	1.406	3.472	15.584
FBgn0052163	FBtr0075310	21.137	22.646	26.837	23.065	22.773	20.226	16.718	14.842	16.246	11.531	12.239	11.798
FBgn0011279	FBtr0075955	0	0.059	0.061	0.05	0.057	0.109	0.165	0.058	0.376	0.368	0.229	0.568
FBgn0003218	FBtr0073822	0	0	0.033	0.146	0.065	0.04	0	0	0.037	0.006	0.018	0.007
FBgn0287234	FBtr0077417	70.548	17.309	39.591	8.003	11.133	12.062	24.769	9.929	12.158	26.554	184.494	266.059
FBgn0030332	FBtr0073613	1.095	0.386	0.521	0.086	0.112	0.207	0.197	0.301	0.237	0.377	2.445	5.244
FBgn0035853	FBtr0076722	21.878	64.257	90.56	84.775	103.904	21.713	38.962	27.208	49.743	31.742	38.05	44.677
FBgn0046296	FBtr0075995	19.562	18.764	4.338	7.92	10.026	9.289	9.262	11.153	10.02	9.649	9.535	10.287
FBgn0030770	FBtr0074373	0	0	0.082	0.715	0.672	0.734	0.325	0.226	0.478	0.677	0.765	0.38
